segment_id,road_name,time_of_day,day_of_week,weather,vehicle_density,congestion_score
9,Airport Road,6,0,rain,54,0.5207
8,Satara Road,0,5,clear,10,0.1243
15,NIBM Road,20,5,fog,64,0.5834
15,NIBM Road,8,0,rain,90,1.0
3,Karve Road,15,6,clear,10,0.099
6,Nagar Road,11,3,clear,8,0.1149
2,Tilak Road,4,0,clear,21,0.1699
13,Old Mumbai Highway,15,4,clear,7,0.1528
5,Mumbai-Bangalore Highway,14,0,clear,63,0.5071
5,Mumbai-Bangalore Highway,22,0,rain,32,0.3531
5,Mumbai-Bangalore Highway,21,2,rain,27,0.2734
15,NIBM Road,0,4,clear,10,0.1409
5,Mumbai-Bangalore Highway,5,2,clear,9,0.1488
3,Karve Road,16,4,clear,18,0.1485
4,Paud Road,0,0,rain,6,0.1163
10,University Road,1,5,rain,14,0.1752
5,Mumbai-Bangalore Highway,16,6,clear,12,0.1334
11,Hinjewadi Road,18,6,clear,63,0.4952
14,Sinhagad Road,14,2,clear,41,0.3785
8,Satara Road,14,3,clear,49,0.4633
4,Paud Road,9,0,clear,79,0.6916
5,Mumbai-Bangalore Highway,1,4,clear,15,0.1247
9,Airport Road,22,6,clear,16,0.159
8,Satara Road,3,0,fog,7,0.1601
13,Old Mumbai Highway,18,2,rain,82,0.8977
5,Mumbai-Bangalore Highway,5,0,clear,16,0.1424
14,Sinhagad Road,12,2,clear,64,0.4976
8,Satara Road,10,6,clear,49,0.4294
1,FC Road,2,4,fog,19,0.1944
10,University Road,22,5,clear,17,0.1372
3,Karve Road,6,2,fog,43,0.4169
2,Tilak Road,5,2,clear,9,0.1201
1,FC Road,6,5,clear,26,0.2145
9,Airport Road,3,1,rain,17,0.2124
6,Nagar Road,1,6,rain,13,0.1523
5,Mumbai-Bangalore Highway,5,3,rain,6,0.1302
6,Nagar Road,4,0,clear,10,0.1272
14,Sinhagad Road,10,5,clear,58,0.4625
3,Karve Road,18,6,clear,57,0.4486
12,Aundh-Ravet Road,10,3,clear,89,0.7009
9,Airport Road,1,6,clear,14,0.1219
10,University Road,21,3,clear,15,0.1998
1,FC Road,13,5,clear,32,0.2834
3,Karve Road,0,5,clear,9,0.1105
2,Tilak Road,12,1,clear,44,0.354
15,NIBM Road,23,5,clear,20,0.1972
2,Tilak Road,13,4,rain,48,0.5241
1,FC Road,7,5,clear,24,0.2446
12,Aundh-Ravet Road,2,4,clear,23,0.1979
4,Paud Road,12,1,clear,47,0.4209
3,Karve Road,5,0,rain,19,0.2177
15,NIBM Road,22,1,clear,22,0.2142
6,Nagar Road,5,2,rain,12,0.1713
15,NIBM Road,0,3,rain,8,0.1906
13,Old Mumbai Highway,4,2,rain,8,0.1709
11,Hinjewadi Road,9,0,clear,72,0.6291
8,Satara Road,19,6,rain,44,0.5379
13,Old Mumbai Highway,1,2,rain,23,0.2595
11,Hinjewadi Road,4,3,clear,14,0.1314
7,Solapur Road,14,1,fog,51,0.5178
2,Tilak Road,0,6,rain,9,0.1477
4,Paud Road,4,4,rain,14,0.1975
9,Airport Road,21,2,rain,22,0.3234
1,FC Road,13,4,fog,53,0.5178
1,FC Road,21,6,clear,18,0.1441
9,Airport Road,9,3,rain,85,0.9085
9,Airport Road,10,5,clear,50,0.4481
11,Hinjewadi Road,11,2,clear,11,0.102
1,FC Road,16,4,clear,22,0.1761
4,Paud Road,8,0,clear,81,0.6753
1,FC Road,6,0,clear,52,0.4114
14,Sinhagad Road,16,4,clear,20,0.1581
14,Sinhagad Road,18,6,clear,59,0.4781
3,Karve Road,3,0,clear,11,0.1345
3,Karve Road,13,1,clear,62,0.5224
7,Solapur Road,7,0,clear,32,0.3047
13,Old Mumbai Highway,7,5,clear,22,0.2103
15,NIBM Road,7,1,rain,53,0.5677
11,Hinjewadi Road,15,3,fog,18,0.2063
7,Solapur Road,9,6,rain,52,0.5349
4,Paud Road,17,1,fog,69,0.7393
2,Tilak Road,2,6,clear,15,0.1321
14,Sinhagad Road,8,1,fog,94,0.9295
8,Satara Road,16,1,clear,18,0.1516
2,Tilak Road,18,0,clear,66,0.6267
6,Nagar Road,21,2,clear,27,0.2599
6,Nagar Road,17,4,rain,98,1.0
10,University Road,11,6,clear,6,0.0859
13,Old Mumbai Highway,20,6,clear,52,0.4382
10,University Road,13,1,clear,50,0.3892
3,Karve Road,20,2,clear,99,0.8043
8,Satara Road,21,5,rain,9,0.156
3,Karve Road,2,3,clear,17,0.1581
2,Tilak Road,20,0,clear,81,0.7011
8,Satara Road,9,0,clear,62,0.5396
3,Karve Road,5,1,clear,9,0.1346
13,Old Mumbai Highway,16,1,rain,21,0.2207
8,Satara Road,18,6,rain,56,0.6357
8,Satara Road,17,0,rain,90,0.9495
10,University Road,15,6,fog,7,0.1087
9,Airport Road,18,1,clear,93,0.7673
7,Solapur Road,2,1,clear,11,0.1256
3,Karve Road,11,3,clear,7,0.1179
7,Solapur Road,22,3,clear,38,0.3094
9,Airport Road,12,1,clear,52,0.428
7,Solapur Road,2,1,fog,17,0.213
3,Karve Road,6,5,clear,29,0.2402
9,Airport Road,15,3,fog,14,0.1483
4,Paud Road,4,0,clear,7,0.1077
2,Tilak Road,3,1,clear,20,0.185
9,Airport Road,14,0,clear,43,0.4025
13,Old Mumbai Highway,4,2,clear,11,0.1725
11,Hinjewadi Road,12,1,clear,59,0.439
13,Old Mumbai Highway,21,4,rain,28,0.2943
10,University Road,8,0,fog,65,0.7538
7,Solapur Road,16,0,fog,21,0.1925
2,Tilak Road,17,5,fog,43,0.4835
8,Satara Road,14,0,clear,53,0.4565
8,Satara Road,2,2,clear,13,0.1477
10,University Road,8,6,rain,41,0.5133
12,Aundh-Ravet Road,14,5,clear,28,0.2482
5,Mumbai-Bangalore Highway,15,4,fog,17,0.2043
14,Sinhagad Road,18,1,clear,98,0.7948
1,FC Road,5,2,fog,5,0.0936
13,Old Mumbai Highway,10,4,rain,95,1.0
7,Solapur Road,4,2,fog,23,0.2134
11,Hinjewadi Road,20,5,fog,53,0.568
13,Old Mumbai Highway,11,6,clear,11,0.1425
1,FC Road,7,6,clear,34,0.2582
3,Karve Road,6,1,clear,31,0.3041
14,Sinhagad Road,4,4,rain,24,0.2389
11,Hinjewadi Road,16,3,clear,14,0.1275
8,Satara Road,17,1,fog,93,0.897
4,Paud Road,11,6,clear,3,0.0757
3,Karve Road,10,1,clear,93,0.7425
1,FC Road,2,4,fog,19,0.2227
4,Paud Road,1,6,rain,9,0.1483
12,Aundh-Ravet Road,23,3,rain,29,0.3324
6,Nagar Road,18,0,clear,65,0.6237
2,Tilak Road,2,0,rain,16,0.2046
11,Hinjewadi Road,7,3,clear,46,0.3345
11,Hinjewadi Road,13,1,rain,42,0.5253
8,Satara Road,2,3,rain,18,0.2252
4,Paud Road,3,0,clear,6,0.1154
13,Old Mumbai Highway,16,4,clear,22,0.1908
11,Hinjewadi Road,12,0,fog,45,0.5144
3,Karve Road,23,0,clear,39,0.2764
6,Nagar Road,21,3,rain,24,0.334
1,FC Road,1,0,clear,17,0.1656
10,University Road,21,6,clear,13,0.1494
15,NIBM Road,1,1,clear,21,0.179
11,Hinjewadi Road,5,0,fog,11,0.1521
12,Aundh-Ravet Road,7,1,rain,49,0.5142
7,Solapur Road,10,3,clear,65,0.6273
3,Karve Road,8,3,rain,70,0.8642
12,Aundh-Ravet Road,12,0,fog,65,0.5732
13,Old Mumbai Highway,7,4,rain,52,0.4788
6,Nagar Road,17,2,clear,96,0.7671
12,Aundh-Ravet Road,9,2,rain,88,0.9251
7,Solapur Road,11,0,fog,24,0.2448
14,Sinhagad Road,19,3,clear,96,0.7471
2,Tilak Road,3,1,clear,8,0.1096
3,Karve Road,21,4,clear,27,0.2596
1,FC Road,2,1,rain,20,0.2388
14,Sinhagad Road,13,1,clear,44,0.3735
6,Nagar Road,14,5,clear,41,0.3041
1,FC Road,1,2,rain,5,0.1307
13,Old Mumbai Highway,22,6,clear,15,0.1295
10,University Road,9,3,rain,60,0.7771
12,Aundh-Ravet Road,0,0,clear,24,0.1966
15,NIBM Road,4,3,clear,21,0.1865
15,NIBM Road,14,5,clear,44,0.3424
9,Airport Road,4,3,clear,5,0.0944
5,Mumbai-Bangalore Highway,4,0,clear,18,0.17
2,Tilak Road,23,2,clear,16,0.212
7,Solapur Road,23,6,clear,24,0.181
14,Sinhagad Road,12,3,rain,49,0.5567
5,Mumbai-Bangalore Highway,0,6,rain,6,0.1083
2,Tilak Road,0,6,fog,9,0.1259
1,FC Road,7,6,clear,26,0.2333
4,Paud Road,0,0,clear,20,0.1973
9,Airport Road,1,1,rain,13,0.2268
13,Old Mumbai Highway,8,4,clear,70,0.6517
14,Sinhagad Road,3,5,clear,3,0.1004
3,Karve Road,12,2,clear,69,0.4894
15,NIBM Road,0,3,rain,19,0.225
9,Airport Road,0,0,clear,7,0.0881
3,Karve Road,7,5,rain,20,0.2552
10,University Road,7,1,clear,50,0.3882
5,Mumbai-Bangalore Highway,1,4,clear,8,0.1405
6,Nagar Road,13,1,rain,50,0.5138
7,Solapur Road,15,6,clear,12,0.1365
15,NIBM Road,3,4,clear,23,0.1763
5,Mumbai-Bangalore Highway,19,5,clear,59,0.4712
4,Paud Road,17,1,clear,68,0.6622
7,Solapur Road,11,1,rain,11,0.1777
13,Old Mumbai Highway,9,3,clear,66,0.6278
13,Old Mumbai Highway,9,6,fog,52,0.5527
9,Airport Road,8,6,rain,43,0.5412
11,Hinjewadi Road,4,3,clear,23,0.2119
9,Airport Road,17,2,rain,97,1.0
1,FC Road,2,3,fog,21,0.1885
3,Karve Road,6,2,clear,43,0.3446
9,Airport Road,1,2,clear,22,0.1796
7,Solapur Road,8,0,clear,83,0.6427
10,University Road,5,1,fog,17,0.1514
1,FC Road,3,2,clear,5,0.0932
4,Paud Road,12,0,rain,67,0.6744
5,Mumbai-Bangalore Highway,7,5,clear,20,0.196
3,Karve Road,21,5,clear,16,0.1658
2,Tilak Road,22,5,clear,23,0.2152
13,Old Mumbai Highway,14,0,clear,49,0.3981
12,Aundh-Ravet Road,16,3,fog,7,0.1405
12,Aundh-Ravet Road,18,5,fog,42,0.4943
6,Nagar Road,21,1,rain,15,0.2497
4,Paud Road,1,4,clear,5,0.0925
9,Airport Road,20,1,fog,73,0.8033
14,Sinhagad Road,22,1,rain,37,0.3762
15,NIBM Road,21,3,fog,24,0.2645
6,Nagar Road,17,4,clear,88,0.7418
3,Karve Road,15,6,clear,8,0.0749
11,Hinjewadi Road,1,2,clear,24,0.2197
2,Tilak Road,21,0,fog,28,0.296
14,Sinhagad Road,19,2,fog,70,0.7337
8,Satara Road,20,1,clear,79,0.7229
12,Aundh-Ravet Road,12,6,clear,37,0.3118
13,Old Mumbai Highway,10,5,rain,53,0.5421
3,Karve Road,1,1,clear,15,0.1699
15,NIBM Road,8,6,clear,61,0.4738
14,Sinhagad Road,18,6,rain,63,0.6841
1,FC Road,4,6,clear,15,0.1547
2,Tilak Road,4,3,clear,7,0.1101
14,Sinhagad Road,6,4,clear,34,0.2894
11,Hinjewadi Road,20,5,rain,55,0.6067
7,Solapur Road,4,0,clear,22,0.176
5,Mumbai-Bangalore Highway,12,3,clear,56,0.4535
4,Paud Road,22,4,clear,18,0.2034
2,Tilak Road,7,2,clear,49,0.4002
10,University Road,12,0,fog,56,0.569
2,Tilak Road,15,4,clear,22,0.1904
5,Mumbai-Bangalore Highway,10,6,rain,52,0.5911
12,Aundh-Ravet Road,22,4,clear,26,0.2489
13,Old Mumbai Highway,7,0,rain,30,0.3427
8,Satara Road,16,4,clear,12,0.1262
11,Hinjewadi Road,19,6,fog,59,0.5561
5,Mumbai-Bangalore Highway,21,1,clear,30,0.2636
8,Satara Road,8,1,rain,62,0.7596
14,Sinhagad Road,8,0,fog,69,0.7583
8,Satara Road,1,5,clear,13,0.1394
11,Hinjewadi Road,9,6,clear,50,0.41
11,Hinjewadi Road,13,3,clear,57,0.468
5,Mumbai-Bangalore Highway,11,2,fog,7,0.1338
7,Solapur Road,16,3,fog,22,0.2086
14,Sinhagad Road,7,5,rain,23,0.2451
6,Nagar Road,21,2,clear,27,0.2139
15,NIBM Road,19,2,fog,79,0.8361
13,Old Mumbai Highway,21,2,rain,15,0.2345
3,Karve Road,22,4,clear,26,0.2573
15,NIBM Road,7,1,clear,37,0.3308
1,FC Road,3,2,clear,14,0.1466
5,Mumbai-Bangalore Highway,13,6,rain,26,0.3357
4,Paud Road,3,5,rain,10,0.1304
2,Tilak Road,20,0,rain,80,0.8797
8,Satara Road,18,4,clear,68,0.6734
3,Karve Road,4,5,clear,7,0.0677
14,Sinhagad Road,3,3,rain,24,0.2658
13,Old Mumbai Highway,13,2,clear,55,0.4445
8,Satara Road,23,1,clear,33,0.2792
1,FC Road,13,2,clear,52,0.4723
5,Mumbai-Bangalore Highway,3,2,clear,8,0.1221
1,FC Road,17,6,clear,59,0.5138
12,Aundh-Ravet Road,21,4,clear,20,0.2315
11,Hinjewadi Road,14,5,fog,43,0.3861
5,Mumbai-Bangalore Highway,19,4,fog,67,0.6902
14,Sinhagad Road,21,4,rain,27,0.3083
3,Karve Road,13,1,fog,68,0.5983
5,Mumbai-Bangalore Highway,9,4,rain,85,0.9011
2,Tilak Road,2,0,rain,8,0.15
12,Aundh-Ravet Road,11,3,clear,24,0.2238
14,Sinhagad Road,23,3,clear,36,0.2635
12,Aundh-Ravet Road,13,1,clear,61,0.4893
6,Nagar Road,11,0,clear,15,0.16
9,Airport Road,20,3,clear,91,0.7513
2,Tilak Road,23,2,fog,29,0.3073
10,University Road,11,5,rain,14,0.1638
5,Mumbai-Bangalore Highway,23,0,clear,39,0.337
13,Old Mumbai Highway,8,0,clear,63,0.5722
6,Nagar Road,22,0,clear,16,0.1933
7,Solapur Road,21,0,clear,20,0.2203
10,University Road,20,4,fog,66,0.7327
3,Karve Road,6,5,clear,28,0.2555
10,University Road,2,2,rain,11,0.1925
4,Paud Road,13,3,clear,63,0.4731
4,Paud Road,13,2,fog,47,0.5325
15,NIBM Road,1,0,clear,7,0.1353
4,Paud Road,2,5,clear,14,0.118
11,Hinjewadi Road,23,3,clear,38,0.3014
5,Mumbai-Bangalore Highway,20,6,rain,51,0.611
10,University Road,19,5,rain,46,0.555
11,Hinjewadi Road,17,2,fog,97,0.9007
8,Satara Road,4,3,rain,9,0.1635
6,Nagar Road,18,0,rain,80,0.968
5,Mumbai-Bangalore Highway,20,5,rain,44,0.5954
11,Hinjewadi Road,22,2,rain,17,0.2687
2,Tilak Road,4,2,clear,13,0.1592
3,Karve Road,11,0,clear,19,0.169
8,Satara Road,1,5,rain,13,0.1788
14,Sinhagad Road,0,4,clear,6,0.1067
10,University Road,10,0,clear,81,0.7115
14,Sinhagad Road,14,2,rain,59,0.6151
3,Karve Road,7,3,rain,35,0.4364
8,Satara Road,22,6,clear,11,0.1417
6,Nagar Road,14,6,clear,41,0.3207
14,Sinhagad Road,3,3,clear,13,0.1643
2,Tilak Road,18,0,fog,91,0.869
8,Satara Road,13,5,clear,39,0.3057
14,Sinhagad Road,13,2,clear,64,0.4615
6,Nagar Road,22,5,fog,21,0.2396
3,Karve Road,8,3,clear,66,0.6235
12,Aundh-Ravet Road,22,0,clear,29,0.2372
5,Mumbai-Bangalore Highway,3,0,clear,5,0.099
11,Hinjewadi Road,20,2,clear,78,0.6779
4,Paud Road,7,1,rain,43,0.4866
15,NIBM Road,22,4,rain,30,0.3175
14,Sinhagad Road,17,4,clear,69,0.6117
12,Aundh-Ravet Road,0,4,clear,13,0.1684
8,Satara Road,0,4,rain,12,0.1669
15,NIBM Road,14,0,clear,59,0.4691
3,Karve Road,5,3,rain,23,0.2338
12,Aundh-Ravet Road,3,5,rain,4,0.1287
2,Tilak Road,22,0,clear,37,0.3053
2,Tilak Road,16,4,clear,12,0.1308
9,Airport Road,12,0,rain,53,0.5783
8,Satara Road,16,4,clear,21,0.1507
11,Hinjewadi Road,19,3,clear,85,0.6966
10,University Road,10,5,fog,44,0.4794
1,FC Road,23,4,clear,21,0.1961
11,Hinjewadi Road,13,2,clear,53,0.4167
3,Karve Road,11,4,rain,16,0.2012
10,University Road,6,3,rain,37,0.4378
14,Sinhagad Road,12,6,clear,35,0.2918
4,Paud Road,0,6,rain,5,0.0931
4,Paud Road,16,0,clear,23,0.208
15,NIBM Road,8,1,clear,70,0.637
3,Karve Road,21,0,rain,17,0.248
2,Tilak Road,5,2,clear,12,0.1624
12,Aundh-Ravet Road,2,2,clear,17,0.181
14,Sinhagad Road,16,6,clear,6,0.1104
2,Tilak Road,3,2,clear,13,0.1537
12,Aundh-Ravet Road,11,1,clear,7,0.1523
15,NIBM Road,22,2,clear,39,0.2761
8,Satara Road,6,1,clear,34,0.3041
1,FC Road,0,6,clear,9,0.1169
11,Hinjewadi Road,14,6,rain,32,0.3649
5,Mumbai-Bangalore Highway,7,1,rain,53,0.5665
4,Paud Road,16,4,fog,7,0.1495
11,Hinjewadi Road,13,5,fog,42,0.3448
11,Hinjewadi Road,14,4,clear,44,0.4104
12,Aundh-Ravet Road,4,2,fog,8,0.1643
13,Old Mumbai Highway,12,2,fog,59,0.5471
6,Nagar Road,3,4,clear,21,0.1665
5,Mumbai-Bangalore Highway,22,2,clear,16,0.1708
1,FC Road,20,5,rain,55,0.6394
3,Karve Road,0,3,clear,7,0.1226
4,Paud Road,18,4,fog,82,0.8486
10,University Road,18,4,rain,72,0.8293
4,Paud Road,21,2,clear,35,0.2761
15,NIBM Road,11,5,clear,9,0.0859
8,Satara Road,19,0,fog,76,0.8643
10,University Road,15,3,clear,10,0.1294
6,Nagar Road,10,0,clear,82,0.6766
9,Airport Road,18,1,rain,78,0.9035
15,NIBM Road,14,3,rain,42,0.4738
4,Paud Road,12,0,rain,40,0.5084
6,Nagar Road,2,2,clear,19,0.1987
2,Tilak Road,21,4,clear,17,0.1875
14,Sinhagad Road,20,3,rain,88,0.9947
14,Sinhagad Road,14,2,fog,47,0.499
14,Sinhagad Road,6,2,rain,54,0.5281
13,Old Mumbai Highway,7,4,rain,38,0.4792
2,Tilak Road,7,6,clear,27,0.2377
15,NIBM Road,5,2,clear,7,0.1275
2,Tilak Road,12,4,clear,45,0.3721
7,Solapur Road,1,1,clear,10,0.0954
13,Old Mumbai Highway,23,6,clear,10,0.1431
14,Sinhagad Road,23,5,clear,23,0.1861
1,FC Road,16,0,clear,17,0.1605
9,Airport Road,21,6,fog,24,0.2345
4,Paud Road,7,5,clear,30,0.2513
4,Paud Road,20,6,clear,44,0.4103
2,Tilak Road,11,6,clear,3,0.0788
11,Hinjewadi Road,8,3,clear,90,0.7124
2,Tilak Road,21,5,fog,24,0.2113
5,Mumbai-Bangalore Highway,11,0,clear,15,0.1479
9,Airport Road,1,3,clear,22,0.1969
1,FC Road,5,3,rain,21,0.242
1,FC Road,23,6,clear,24,0.2091
5,Mumbai-Bangalore Highway,0,3,clear,8,0.1205
5,Mumbai-Bangalore Highway,19,2,rain,81,0.9383
12,Aundh-Ravet Road,8,2,clear,77,0.6844
9,Airport Road,6,0,clear,34,0.3537
9,Airport Road,8,5,clear,52,0.434
13,Old Mumbai Highway,12,1,clear,47,0.4326
12,Aundh-Ravet Road,5,3,clear,12,0.1443
5,Mumbai-Bangalore Highway,10,2,rain,69,0.8163
10,University Road,13,4,clear,63,0.513
14,Sinhagad Road,9,2,clear,97,0.7584
8,Satara Road,10,0,fog,85,0.8355
12,Aundh-Ravet Road,15,6,clear,10,0.0795
11,Hinjewadi Road,14,5,clear,28,0.2292
5,Mumbai-Bangalore Highway,0,6,clear,15,0.1405
11,Hinjewadi Road,20,3,clear,73,0.6808
7,Solapur Road,23,4,clear,18,0.228
13,Old Mumbai Highway,1,1,clear,19,0.1662
4,Paud Road,7,0,clear,53,0.4328
15,NIBM Road,21,0,clear,26,0.2635
9,Airport Road,9,2,clear,70,0.6651
4,Paud Road,14,6,rain,32,0.3996
6,Nagar Road,23,5,clear,18,0.1688
10,University Road,16,1,clear,24,0.1633
1,FC Road,17,5,clear,51,0.4593
14,Sinhagad Road,4,5,clear,14,0.1145
15,NIBM Road,2,5,fog,7,0.0808
1,FC Road,16,2,rain,15,0.1998
9,Airport Road,15,3,fog,20,0.2247
14,Sinhagad Road,11,2,clear,22,0.1684
6,Nagar Road,17,1,clear,93,0.8017
11,Hinjewadi Road,10,4,fog,93,0.8779
8,Satara Road,3,6,clear,9,0.0936
8,Satara Road,17,5,fog,47,0.5341
12,Aundh-Ravet Road,9,6,rain,53,0.5851
7,Solapur Road,7,2,clear,54,0.4239
13,Old Mumbai Highway,9,3,clear,86,0.7336
9,Airport Road,6,0,rain,49,0.5488
1,FC Road,6,2,clear,46,0.3759
4,Paud Road,20,2,clear,65,0.5914
13,Old Mumbai Highway,19,3,clear,75,0.6741
1,FC Road,16,5,fog,11,0.1218
11,Hinjewadi Road,23,2,clear,26,0.2377
12,Aundh-Ravet Road,6,6,fog,24,0.2685
7,Solapur Road,9,3,clear,88,0.6837
7,Solapur Road,13,3,rain,66,0.6519
5,Mumbai-Bangalore Highway,0,2,clear,12,0.137
13,Old Mumbai Highway,23,1,rain,16,0.27
8,Satara Road,19,6,fog,61,0.5731
9,Airport Road,21,5,clear,15,0.1339
5,Mumbai-Bangalore Highway,19,2,fog,86,0.899
6,Nagar Road,18,6,rain,44,0.5634
14,Sinhagad Road,4,0,clear,23,0.1734
11,Hinjewadi Road,14,5,clear,35,0.2949
5,Mumbai-Bangalore Highway,7,0,clear,52,0.4131
11,Hinjewadi Road,1,6,clear,13,0.1116
9,Airport Road,16,3,fog,19,0.2226
6,Nagar Road,16,0,rain,23,0.2611
8,Satara Road,1,6,rain,6,0.1356
7,Solapur Road,16,1,rain,13,0.1693
4,Paud Road,20,2,clear,76,0.6832
1,FC Road,16,2,clear,8,0.1452
2,Tilak Road,16,2,rain,7,0.1355
14,Sinhagad Road,1,4,clear,23,0.1999
8,Satara Road,18,4,clear,91,0.7217
14,Sinhagad Road,2,2,clear,15,0.1506
4,Paud Road,11,6,clear,14,0.1081
14,Sinhagad Road,23,6,clear,19,0.1895
4,Paud Road,15,3,clear,16,0.1424
11,Hinjewadi Road,11,0,fog,9,0.1516
6,Nagar Road,23,2,clear,32,0.2734
5,Mumbai-Bangalore Highway,1,5,clear,5,0.1134
7,Solapur Road,14,6,clear,37,0.3153
4,Paud Road,23,1,fog,23,0.2628
13,Old Mumbai Highway,9,0,clear,64,0.6393
2,Tilak Road,19,0,clear,76,0.65
2,Tilak Road,2,1,clear,14,0.1393
7,Solapur Road,6,2,clear,35,0.2976
4,Paud Road,11,2,rain,19,0.2309
6,Nagar Road,2,5,clear,9,0.1146
6,Nagar Road,8,2,clear,61,0.6375
10,University Road,9,4,fog,81,0.8206
8,Satara Road,21,3,rain,39,0.3752
13,Old Mumbai Highway,3,6,clear,5,0.0843
9,Airport Road,12,5,clear,29,0.2604
2,Tilak Road,21,1,clear,35,0.2912
15,NIBM Road,3,4,clear,23,0.1998
9,Airport Road,8,1,rain,99,1.0
15,NIBM Road,19,6,clear,63,0.4735
2,Tilak Road,7,2,clear,32,0.3002
2,Tilak Road,15,6,rain,6,0.1103
15,NIBM Road,12,5,clear,29,0.2848
14,Sinhagad Road,7,2,rain,46,0.5257
9,Airport Road,6,0,fog,30,0.3877
8,Satara Road,20,1,rain,79,0.8916
6,Nagar Road,10,1,clear,63,0.6002
11,Hinjewadi Road,21,3,clear,15,0.1947
2,Tilak Road,0,5,clear,13,0.1397
12,Aundh-Ravet Road,20,1,fog,84,0.8564
1,FC Road,3,3,clear,14,0.1446
15,NIBM Road,19,0,rain,96,1.0
14,Sinhagad Road,9,0,clear,98,0.7282
13,Old Mumbai Highway,8,5,clear,61,0.4722
5,Mumbai-Bangalore Highway,9,6,rain,53,0.5773
15,NIBM Road,21,0,clear,19,0.216
4,Paud Road,14,6,clear,40,0.31
6,Nagar Road,11,1,clear,5,0.1003
